"","individual","propscore","raw","Ravens_C","Anx_mean","Num_op","WE_WIAT","group"
"55",65,0.846938775510204,0.857142857142857,8,1.6,33,25,1
"56",66,0.52312925170068,0.523809523809524,8,2,32,22,1
"57",67,0.661904761904762,0.666666666666667,7,1.4,27,27,1
"58",68,0.430612244897959,0.428571428571429,11,1.5,29,19,1
"59",70,0.615646258503401,0.619047619047619,9,1,31,19,0
"60",71,0.9365,0.95,9,2.2,28,26,0
"61",72,0.414878892733564,0.411764705882353,7,1.7,21,27,0
"62",74,0.8395,0.85,10,1.3,33,21,1
"63",80,0.641868512110727,0.647058823529412,7,3,29,23,0
"64",81,0.3545,0.35,10,1.6,26,23,0
"65",82,0.474515235457064,0.473684210526316,10,1.4,30,18,0
"66",83,0.800680272108844,0.80952380952381,11,1.3,31,35,0
"67",84,0.754421768707483,0.761904761904762,8,1.5,29,24,0
"68",85,0.6455,0.65,12,1.3,30,20,0
"69",86,0.209,0.2,7,1.3,27,21,0
"70",87,0.6455,0.65,6,1.5,32,27,0
"71",88,0.791,0.8,7,1.4,27,22,0
"72",89,0.5,0.5,7,1.4,27,25,0
"73",91,0.661904761904762,0.666666666666667,10,2.1,27,19,1
"74",92,0.0635,0.05,5,1.8,21,17,1
"75",93,0.569387755102041,0.571428571428571,3,1.8,19,25,1
"76",94,0.106802721088435,0.0952380952380952,7,1.7,25,30,1
"77",97,0.4515,0.45,10,1.5,31,21,1
"78",98,0.694,0.7,11,1,35,32,1
"79",99,0.5485,0.55,10,2.3,28,28,1
"80",100,0.6455,0.65,9,1.5,18,22,1
"81",102,0.694,0.7,6,1.3,28,24,0
"82",103,0.338095238095238,0.333333333333333,7,1.1,28,26,1
"83",104,0.729362880886427,0.736842105263158,9,1.5,26,22,0
"84",105,0.754421768707483,0.761904761904762,9,1.4,20,25,0
"85",107,0.7425,0.75,8,1.9,23,26,0
"86",108,0.5485,0.55,9,1.5,18,29,1
"87",109,0.321606648199446,0.315789473684211,8,1.2,14,25,0
"88",111,0.306,0.3,9,1.7,19,21,1
"89",112,0.112,0.1,9,1.5,21,20,1
"90",113,0.2575,0.25,8,1.2,22,16,0
"91",115,0.615646258503401,0.619047619047619,7,2.1,27,21,0
"92",116,0.0605442176870748,0.0476190476190476,10,1.8,25,27,1
"93",117,0.768518518518518,0.777777777777778,7,1.6,22,17,1
"94",118,0.714814814814815,0.722222222222222,5,2,19,22,1
"95",120,0.306,0.3,9,2.1,18,15,1
"96",122,0.209,0.2,8,1.9,19,30,1
"97",126,0.831301939058172,0.842105263157895,8,1.2,31,26,1
"98",127,0.47687074829932,0.476190476190476,6,1.3,24,31,0
"99",128,0.199319727891156,0.19047619047619,7,1.6,18,24,1
"100",129,0.106802721088435,0.0952380952380952,7,1.8,25,21,1
"101",130,0.209,0.2,6,1.5,22,16,0
"102",131,0.888,0.9,8,1.2,23,29,1
"103",132,0.168698060941828,0.157894736842105,10,1.2,25,24,0
"104",133,0.168698060941828,0.157894736842105,6,1.3,30,23,0
"105",134,0.694,0.7,8,2,24,27,1
"106",137,0.0605442176870748,0.0476190476190476,10,1.2,30,24,1
"107",138,0.168698060941828,0.157894736842105,8,1.3,24,24,0
"108",139,0.403,0.4,8,2.1,25,25,0
"109",140,0.423545706371191,0.421052631578947,10,1.4,30,23,0
"110",141,0.9365,0.95,6,3.3,21,20,0
"111",142,0.306,0.3,9,1.4,23,20,1
"112",143,0.525484764542936,0.526315789473684,7,1,26,31,1
"113",144,0.5,0.5,10,1.1,20,31,0
"114",145,0.112,0.1,6,1.6,26,25,1
"115",146,0.403,0.4,7,1.8,20,16,1
"116",149,0.5,0.5,8,1.9,25,25,1
"117",150,0.306,0.3,7,1.7,20,28,0
"118",151,0.384353741496599,0.380952380952381,7,1.2,18,25,0
"119",152,0.0667590027700831,0.0526315789473684,8,2.5,13,26,0
"120",153,0.0605442176870748,0.0476190476190476,5,1.9,20,26,0
"121",158,0.780332409972299,0.789473684210526,4,1.1,25,23,1
"122",160,0.846938775510204,0.857142857142857,5,1.2,24,15,1
"123",161,0.780332409972299,0.789473684210526,7,2.9,27,28,1
"124",163,0.615646258503401,0.619047619047619,6,2.5,22,21,1
"125",164,0.2575,0.25,8,3.4,17,13,1
"126",165,0.291836734693878,0.285714285714286,6,2.7,14,20,1
"127",166,0.199319727891156,0.19047619047619,8,1.4,15,21,1
"128",167,0.306,0.3,6,2.2,21,29,1
"129",168,0.0635,0.05,9,1.3,19,24,1
"130",169,0.597,0.6,8,1.4,17,21,0
"131",170,0.321606648199446,0.315789473684211,6,1.7,22,20,0
"132",171,0.338095238095238,0.333333333333333,6,1.2,20,30,0
"133",172,0.6455,0.65,11,1.4,19,26,0
"134",173,0.525484764542936,0.526315789473684,8,1.1,26,31,0
"135",174,0.3545,0.35,9,1.2,21,28,0
"136",176,0.525484764542936,0.526315789473684,11,1,25,30,0
"137",177,0.112,0.1,7,1.2,27,26,0
"138",178,0.8395,0.85,6,1.3,23,28,0
"139",179,0.755363321799308,0.764705882352941,7,1.7,34,25,0
"140",180,0.4515,0.45,10,1.9,21,25,0
"141",182,0.6455,0.65,9,1.4,25,24,0
"142",183,0.694,0.7,6,1.2,28,33,0
"143",184,0.209,0.2,7,1.6,25,26,0
"144",185,0.569387755102041,0.571428571428571,7,1.2,29,20,0
"145",186,0.168698060941828,0.157894736842105,8,1.7,25,27,0
"146",187,0.569387755102041,0.571428571428571,9,2.5,20,29,0
"147",188,0.822222222222222,0.833333333333333,7,2.7,23,22,0
"148",189,0.403,0.4,9,1.4,22,26,0
"149",190,0.6455,0.65,9,2.2,27,21,0
"150",191,0.1605,0.15,11,2.6,24,24,0
"151",192,0.4515,0.45,8,1.4,17,18,0
"152",193,0.791,0.8,10,2,33,29,0
"153",194,0.5485,0.55,10,1.9,22,33,0
"154",195,0.607407407407407,0.611111111111111,9,1.9,28,29,0
"155",196,0.597,0.6,6,1.9,18,26,0
"156",197,0.615646258503401,0.619047619047619,7,2.4,23,26,0
"157",198,0.6455,0.65,8,1.7,28,19,1
"158",199,0.47687074829932,0.476190476190476,9,1,30,27,1
"159",200,0.52312925170068,0.523809523809524,9,1.6,12,35,1
"160",201,0.569387755102041,0.571428571428571,9,2.4,14,18,1
"161",202,0.2575,0.25,5,3.1,28,28,1
"162",203,0.015,0,7,2.6,16,27,1
"163",204,0.641868512110727,0.647058823529412,4,2,21,25,1
"164",205,0.199319727891156,0.19047619047619,8,1.9,22,29,1
"165",206,0.5485,0.55,6,2.6,15,24,1
"166",207,0.3545,0.35,10,1.7,26,23,0
"167",208,0.52312925170068,0.523809523809524,8,1.7,19,23,0
"168",209,0.661904761904762,0.666666666666667,9,1.6,19,22,0
"169",210,0.0142857142857143,0,7,1.3,20,18,0
"170",211,0.403,0.4,7,1.4,18,26,0
"171",212,0.933240997229917,0.947368421052632,12,1.2,33,33,0
"172",213,0.0166666666666667,0,9,1.4,19,22,0
"173",214,0.430612244897959,0.428571428571429,7,1.4,23,24,0
"174",216,0.754421768707483,0.761904761904762,7,1.8,20,26,0
"175",217,0.52312925170068,0.523809523809524,9,1.4,28,22,0
"176",218,0.1605,0.15,7,2.2,19,19,0
"177",219,0.661111111111111,0.666666666666667,9,2.5,23,21,0
"178",220,0.888,0.9,10,1.666666667,22,24,0
"179",221,0.6455,0.65,9,1.3,30,15,1
"180",222,0.694,0.7,5,1.1,21,26,1
"181",223,0.3545,0.35,9,1.2,30,24,1
"182",225,0.5,0.5,12,1.6,21,34,1
"183",226,0.474515235457064,0.473684210526316,8,2.3,26,24,1
"184",227,0.661904761904762,0.666666666666667,10,1.4,26,26,1
"185",229,0.831301939058172,0.842105263157895,7,1.2,27,26,1
"186",230,0.1605,0.15,8,1.7,29,22,1
"187",232,0.7425,0.75,11,1.5,27,22,1
"188",233,0.791,0.8,8,4.3,34,18,1
"189",234,0.403,0.4,10,1.3,29,24,1
