"","Candidate.Chosen","Candidate.Not.Chosen","Judge","raw_diff"
"1027",206,194,714,0.773864774306972
"283",49,72,509,0.773922998502763
"234",43,229,507,0.774743088130807
"992",201,216,714,0.774743088130807
"400",78,130,703,0.776236221631325
"968",198,6,706,0.776236221631325
"371",71,73,507,0.776337693902478
"944",193,34,507,0.776609505006455
"1020",205,34,507,0.776609505006455
"647",128,215,505,0.777729355131844
"6",3,56,503,0.778475921882104
"314",56,3,507,0.778475921882104
"315",56,39,509,0.778475921882104
"584",119,3,505,0.778475921882104
"737",146,119,701,0.778475921882104
"1186",226,218,509,0.778475921882104
"306",55,181,706,0.780075707775517
"1195",227,181,507,0.78223267030476
"329",58,168,705,0.784075172509049
"523",105,58,503,0.784075172509049
"79",25,153,509,0.786474851349168
"714",143,175,507,0.790237333185008
"355",69,135,505,0.790577897886407
"255",46,131,705,0.795965470925027
"395",78,37,503,0.797458604425546
"175",35,149,509,0.798951737926065
"302",53,65,505,0.798951737926065
"756",151,95,509,0.798951737926065
"993",201,65,505,0.798951737926065
"1116",216,122,707,0.798951737926065
"210",38,128,714,0.801938004927103
"1124",217,128,509,0.801938004927103
"158",34,113,503,0.802261948767709
"1089",213,126,509,0.804453329427281
"391",77,131,715,0.8044869859768
"359",70,74,509,0.805443899292205
"444",91,31,505,0.806157329791949
"490",97,195,507,0.806565210476581
"1179",224,230,503,0.806565210476581
"253",46,87,509,0.807992717171399
"821",167,8,509,0.816671981794197
"1107",215,8,706,0.816671981794197
"407",79,223,507,0.818882719671758
"658",131,225,507,0.819467680635211
"874",179,30,715,0.829606574429061
"881",179,216,505,0.829606574429061
"118",29,123,507,0.830088517996971
"889",180,147,509,0.834038832381667
"631",125,115,505,0.835263480286474
"687",137,115,715,0.835263480286474
"339",63,121,706,0.836042531110271
"516",103,73,509,0.842157167238268
"354",69,8,715,0.847050200256869
"411",87,77,703,0.847050200256869
"833",169,190,706,0.847688336596492
"964",195,4,507,0.848232135748403
"254",46,126,505,0.84926093813443
"1108",215,141,507,0.84926093813443
"659",131,96,503,0.849272506886289
"602",122,125,509,0.850143335047155
"899",182,181,507,0.850596572063863
"1190",227,182,503,0.852486903610871
"248",45,169,507,0.853642679510256
"251",45,169,507,0.853642679510256
"574",115,153,507,0.861486398336387
"263",47,77,701,0.861724588268434
"770",154,77,507,0.861724588268434
"952",194,200,509,0.86264560152948
"295",52,71,507,0.864522355678435
"724",144,7,505,0.865766633595534
"507",102,3,714,0.867010911512633
"806",163,211,507,0.867010911512633
"669",134,88,715,0.868239282395925
"886",180,195,701,0.87235932327591
"743",147,155,505,0.87263779834707
"308",55,89,505,0.87374801885033
"890",181,170,701,0.87374801885033
"1096",213,220,505,0.875984912429866
"750",149,208,507,0.879071548761436
"1006",202,199,705,0.881057646527796
"1008",202,199,707,0.881057646527796
"1213",230,74,706,0.887056843628095
"272",48,43,503,0.890895099899847
"1042",207,148,507,0.894321397553582
"1151",220,58,707,0.894321397553582
"1153",220,47,507,0.894321397553582
"1156",220,154,507,0.894321397553582
"24",6,113,707,0.900991158771393
"610",123,113,703,0.900991158771393
"620",123,113,503,0.900991158771393
"528",108,140,703,0.901769711928387
"847",171,96,509,0.903170970679105
"375",72,86,706,0.904419904343127
"608",122,115,503,0.904954687347898
"68",23,25,505,0.906025891571132
"1070",211,75,503,0.907625677464545
"580",116,113,707,0.910980224825634
"1174",224,24,509,0.911946560435747
"788",159,200,509,0.912425035144784
"791",159,111,507,0.912425035144784
"978",199,30,707,0.915784816707499
"732",145,225,503,0.918196890638896
"414",87,22,507,0.924699616016254
"432",90,76,703,0.925000114282195
"121",30,219,509,0.926059898328583
"1122",216,219,505,0.926059898328583
"226",41,122,507,0.928809437138408
"342",64,122,503,0.928809437138408
"807",164,159,507,0.932348508850643
"81",26,208,707,0.932899834835591
"1032",206,2,503,0.932899834835591
"32",7,120,507,0.934004006275367
"427",89,90,505,0.934004006275367
"1080",212,146,503,0.93436414820371
"358",70,224,507,0.935620861006469
"980",199,224,505,0.935620861006469
"273",48,230,503,0.935714966059022
"1052",209,102,505,0.936803215636083
"322",57,70,507,0.938016806145307
"340",64,155,507,0.939953168804127
"332",63,140,705,0.943339905614149
"2",2,89,509,0.944268883138676
"1046",208,7,505,0.944268883138676
"1087",213,94,507,0.946188044057039
"231",43,64,707,0.946485627868897
"1104",214,41,703,0.946485627868897
"818",167,171,507,0.949852226731815
"577",115,169,507,0.95107282096126
"246",45,108,507,0.95199860613881
"421",89,49,701,0.952274457042281
"431",90,119,703,0.952703939535664
"435",90,211,503,0.952703939535664
"1026",206,137,503,0.961828048549872
"164",34,92,715,0.965755517753675
"947",193,57,715,0.965755517753675
"950",193,57,714,0.965755517753675
"634",126,105,705,0.966124459374444
"1200",228,168,707,0.966124459374444
"558",112,198,507,0.969711913170669
"412",87,136,503,0.972164683248726
"66",23,190,703,0.974625892315514
"1132",218,46,507,0.975187775139213
"56",21,39,507,0.975934341889472
"525",108,3,509,0.975934341889472
"671",134,146,505,0.975934341889472
"941",192,226,705,0.975934341889472
"268",48,175,507,0.977867506042688
"808",164,144,701,0.97918466438805
"1073",211,50,505,0.991930757431878
"385",75,22,507,0.995637765374086
"386",75,22,509,0.995637765374086
"745",147,65,707,0.996124807595466
"843",171,130,703,0.998376944139615
"202",38,119,503,0.998649858184212
"207",38,218,503,0.998649858184212
"603",122,45,509,1.00201645704713
"1111",215,136,505,1.0025429017114
"539",111,134,715,1.00488925435507
"739",146,69,507,1.00545113717877
"1183",226,87,706,1.00545113717877
"129",30,206,505,1.00616879784505
"290",52,26,714,1.00616879784505
"152",33,113,703,1.0077735679665
"825",167,86,503,1.00780900520191
"1149",219,71,507,1.0164134479918
"473",94,79,505,1.02109580500212
"866",176,229,503,1.02156611314002
"184",36,63,509,1.0223097430314
"188",36,63,505,1.0223097430314
"804",163,63,705,1.0223097430314
"244",44,110,505,1.02596034422516
"661",132,33,701,1.02658248318371
"380",74,182,509,1.02716536376696
"720",144,2,509,1.02969317797646
"958",194,209,706,1.0342186977355
"1034",206,209,714,1.0342186977355
"514",103,170,507,1.04299809314236
"753",149,89,706,1.04299809314236
"827",168,116,703,1.04442909593758
"893",181,49,505,1.04630227609341
"137",31,28,707,1.04848069263144
"571",115,108,507,1.04942874758981
"575",115,108,507,1.04942874758981
"176",35,32,705,1.05576002135525
"300",53,221,507,1.05576002135525
"1000",201,221,705,1.05576002135525
"166",34,225,503,1.05638730943479
"410",86,96,706,1.06192003612499
"798",163,108,505,1.06372276476974
"260",46,34,503,1.07279713501751
"644",128,205,505,1.07279713501751
"1036",207,193,706,1.07279713501751
"1037",207,193,714,1.07279713501751
"869",179,202,507,1.07549639100045
"870",179,202,507,1.07549639100045
"880",179,202,509,1.07549639100045
"173",35,97,707,1.07666258958316
"1001",201,224,507,1.07666258958316
"141",32,122,705,1.08103519507945
"496",99,149,701,1.08103519507945
"1161",221,65,509,1.08103519507945
"1164",221,65,509,1.08103519507945
"1167",221,65,507,1.08103519507945
"773",157,120,509,1.08759410332388
"238",43,175,505,1.09401951781173
"758",151,175,701,1.09401951781173
"464",93,34,701,1.09602753737132
"86",26,71,706,1.09682637921652
"1145",219,64,715,1.09837672018226
"906",184,210,707,1.09884266859475
"7",3,76,503,1.09922813193576
"1137",218,76,701,1.09922813193576
"1197",228,198,707,1.0993499998252
"1202",228,130,701,1.0993499998252
"793",163,142,701,1.10010762105846
"627",125,192,503,1.10444812158568
"641",128,75,714,1.10508409747191
"680",136,47,507,1.11998816327629
"682",136,154,703,1.11998816327629
"764",152,72,706,1.12071852140599
"1050",209,111,705,1.12398762800982
"616",123,33,707,1.12531169318739
"583",116,224,503,1.1302256340286
"545",112,136,509,1.13832207310533
"546",112,203,509,1.13832207310533
"836",169,73,714,1.13834479724932
"351",69,6,507,1.14077484318339
"1004",202,164,705,1.14451102142571
"1005",202,164,715,1.14451102142571
"1010",202,164,714,1.14451102142571
"691",137,212,507,1.14586114332401
"849",171,176,503,1.14591083408245
"853",175,137,706,1.14633096505821
"977",199,206,507,1.14721052642174
"979",199,194,507,1.14721052642174
"211",39,171,505,1.14731064673918
"783",159,36,714,1.14836580850112
"595",120,128,705,1.14941579279277
"341",64,45,507,1.15011027205266
"160",34,48,503,1.1526762832921
"134",31,210,705,1.15386204259061
"140",31,70,503,1.15386204259061
"29",6,135,701,1.15511651943847
"619",123,225,503,1.15511651943847
"652",130,135,507,1.15511651943847
"224",40,72,507,1.15764786329441
"688",137,155,715,1.15773819087108
"966",195,115,503,1.15882979878594
"967",195,115,509,1.15882979878594
"278",49,40,503,1.16133936350037
"133",31,110,715,1.16452765651103
"23",6,151,503,1.16965992814554
"974",198,216,507,1.16965992814554
"646",128,123,701,1.17115306164606
"1113",215,6,507,1.17115306164606
"334",63,153,503,1.1732628509796
"817",164,195,507,1.17527849033267
"511",102,91,714,1.17576602615735
"495",97,115,509,1.18371951559359
"1021",205,58,503,1.19050902756463
"397",78,131,503,1.19088231093976
"518",104,131,705,1.19088231093976
"172",35,37,701,1.19237544444028
"296",52,109,701,1.19237544444028
"512",102,89,701,1.19486400027448
"203",38,134,705,1.19536171144132
"916",189,134,509,1.19536171144132
"1127",217,134,507,1.19536171144132
"701",142,211,705,1.19610827819158
"954",194,102,707,1.19814524211642
"307",55,226,706,1.20160110761218
"527",108,87,701,1.20290955718614
"27",6,77,505,1.21158882180893
"649",130,77,509,1.21158882180893
"712",143,33,505,1.21644634857541
"910",184,110,714,1.2195470305069
"324",57,227,503,1.2298420829553
"887",180,221,505,1.2352676759074
"775",157,7,505,1.24187790980005
"781",157,7,503,1.24187790980005
"62",21,141,505,1.24417777814917
"884",180,116,703,1.24429349960238
"852",175,181,705,1.2455134120786
"46",20,90,509,1.24626604797266
"698",141,176,507,1.24688388976803
"476",94,119,503,1.24807102029878
"963",195,45,509,1.25589156848517
"579",116,64,505,1.26040259574287
"638",126,121,507,1.26119223926011
"1133",218,152,503,1.26430101578787
"1135",218,152,507,1.26430101578787
"663",132,43,705,1.26838913814923
"1022",205,52,705,1.26838913814923
"438",91,211,509,1.27205382434826
"1",2,3,707,1.27212197190052
"934",191,97,505,1.27412100959053
"715",143,191,509,1.27523712601464
"733",145,37,503,1.27585480565182
"768",154,109,503,1.27585480565182
"769",154,187,505,1.27585480565182
"878",179,29,706,1.27667896819522
"389",76,131,503,1.28632332187995
"506",102,23,503,1.28853631134929
"510",102,23,503,1.28853631134929
"22",6,154,503,1.28923823756832
"25",6,168,707,1.28923823756832
"396",78,168,503,1.28923823756832
"519",104,145,507,1.28923823756832
"522",104,22,701,1.28923823756832
"557",112,223,705,1.2916040366823
"877",179,184,505,1.29245799385755
"402",79,88,509,1.29353434087333
"1125",217,169,505,1.29371763806988
"132",31,201,507,1.29437050920283
"41",8,175,503,1.29626661911957
"628",125,56,503,1.30115997484278
"485",96,4,507,1.31837123100404
"820",167,176,507,1.31868695158889
"241",44,50,706,1.32102812411083
"920",189,7,715,1.32650294694606
"1128",217,7,714,1.32650294694606
"9",3,153,503,1.32915107730121
"589",119,25,707,1.32915107730121
"1072",211,153,714,1.32915107730121
"560",112,79,714,1.33287225764533
"1168",223,88,509,1.33495918423152
"683",136,52,503,1.33891000243757
"861",176,131,706,1.33897612594529
"422",89,155,503,1.35132487715281
"840",170,155,706,1.35132487715281
"681",136,72,714,1.35293641055444
"765",152,105,503,1.35366676868415
"814",164,157,705,1.3538739086873
"153",33,41,701,1.35719593888373
"142",32,97,503,1.35874604673654
"145",32,224,503,1.35874604673654
"16",4,192,509,1.36120520023303
"561",112,128,707,1.36313561968489
"585",119,123,707,1.36861148165343
"752",149,211,503,1.37085118190421
"857",175,169,509,1.3719710320296
"183",36,125,507,1.38771875836969
"844",171,43,701,1.39180065065383
"43",20,7,706,1.40054985444882
"969",198,26,714,1.40108563785979
"970",198,26,706,1.40108563785979
"975",198,26,505,1.40108563785979
"28",6,86,509,1.40272584521665
"221",40,48,503,1.41848569484049
"197",38,23,503,1.42017525802087
"205",38,181,507,1.42017525802087
"474",94,90,503,1.42164030258447
"122",30,116,507,1.42380115415453
"761",151,116,507,1.42380115415453
"1038",207,199,715,1.42406830154806
"369",71,119,509,1.43667065524
"102",28,110,509,1.43733205257385
"859",176,105,705,1.43733205257385
"1007",202,148,507,1.43733205257385
"193",37,89,706,1.4379149331571
"912",187,7,706,1.4379149331571
"467",94,21,507,1.44478287355589
"461",93,210,707,1.44729870390187
"625",124,155,507,1.45258560536172
"493",97,192,507,1.4529041568928
"180",36,122,503,1.45714647128396
"357",70,77,507,1.46546393324698
"677",135,71,503,1.46907715349955
"965",195,63,507,1.46942746182348
"851",175,108,509,1.47032695865815
"855",175,192,507,1.47032695865815
"785",159,187,706,1.47445890159367
"44",20,200,507,1.49422216552364
"49",20,55,505,1.49422216552364
"437",91,124,505,1.49902903964492
"948",193,206,509,1.49981484786347
"78",25,131,503,1.51711887773272
"344",64,56,503,1.51894499690974
"384",74,211,703,1.51894499690974
"201",38,137,505,1.51935770504126
"208",38,137,503,1.51935770504126
"229",43,33,509,1.52022853320213
"1208",229,33,507,1.52022853320213
"63",22,24,706,1.52174462222321
"1084",212,6,705,1.52449970797504
"378",73,168,507,1.52454424753668
"135",31,206,706,1.52579621891707
"986",200,44,507,1.52945419637403
"5",2,126,503,1.54036540816022
"1045",208,223,505,1.54036540816022
"436",90,198,509,1.54283949930699
"1011",202,86,505,1.55081966022218
"156",34,88,715,1.55934375242171
"640",128,52,707,1.56457676816028
"642",128,201,503,1.56457676816028
"1157",220,35,707,1.56457676816028
"61",21,130,703,1.5660699016608
"902",184,144,706,1.56720422396882
"908",184,144,715,1.56720422396882
"751",149,215,703,1.56756303516132
"754",149,128,503,1.56756303516132
"269",48,22,703,1.56800306581402
"488",96,125,507,1.57415754174084
"130",31,32,707,1.57538744242727
"972",198,50,507,1.58430601745398
"976",198,50,505,1.58430601745398
"1048",209,175,505,1.58766556783015
"204",38,149,706,1.58878541795554
"394",77,103,703,1.59133439900524
"513",103,87,705,1.59782639720087
"515",103,40,706,1.59782639720087
"1172",223,25,701,1.59841255912944
"1201",228,153,505,1.59841255912944
"424",89,34,703,1.59935292170382
"445",91,89,507,1.59990691311011
"1023",206,91,507,1.60165673597716
"190",36,64,503,1.60468036122679
"236",43,8,507,1.60650566182367
"760",151,77,503,1.60650566182367
"913",187,49,507,1.61046919040018
"276",49,143,507,1.6152897940937
"709",142,23,507,1.61763367802824
"1013",203,32,505,1.61992693566201
"932",191,116,705,1.6212595741619
"136",31,144,714,1.62222359796468
"30",7,184,701,1.6282811354181
"657",131,137,706,1.63997701507663
"1171",223,219,505,1.6440905165372
"1175",224,119,503,1.64961601014991
"668",134,92,705,1.65685998777946
"328",58,149,714,1.66927851216604
"538",110,149,507,1.66927851216604
"568",114,95,505,1.66927851216604
"694",140,37,503,1.67974702839417
"239",43,58,714,1.68415507758306
"294",52,58,715,1.68415507758306
"297",53,154,509,1.68415507758306
"304",53,47,505,1.68415507758306
"1103",214,114,507,1.68415507758306
"1059",209,187,509,1.6860214944587
"636",126,191,507,1.68948555959653
"399",78,76,503,1.69160339195786
"520",104,140,503,1.69160339195786
"609",123,140,703,1.69160339195786
"447",91,23,705,1.69357922418492
"564",113,90,507,1.69612422384767
"36",7,78,507,1.69770884833238
"143",32,116,509,1.70588461130791
"567",113,212,507,1.71439467461458
"550",112,212,701,1.71514630446077
"930",191,33,705,1.7176869532095
"1169",223,194,715,1.72419941605366
"554",112,120,714,1.73341675522768
"1043",208,31,509,1.73801846645684
"75",24,69,507,1.7459202122064
"91",26,96,505,1.75253255674021
"373",72,24,714,1.75557696170562
"374",72,74,505,1.75557696170562
"376",72,74,503,1.75557696170562
"163",34,152,505,1.7579470658063
"10",3,53,714,1.76203518816765
"1074",211,151,706,1.76203518816765
"1185",226,151,507,1.76203518816765
"443",91,208,714,1.76383345749103
"534",109,39,507,1.76576802191895
"747",148,2,505,1.76763443879459
"453",92,157,507,1.78106760581863
"713",143,76,505,1.78273804734588
"744",147,128,507,1.7829722206239
"69",23,104,503,1.79173666738351
"542",111,6,507,1.79173666738351
"990",200,198,505,1.79173666738351
"1040",207,194,706,1.79600247787453
"582",116,21,503,1.80136019219992
"144",32,96,507,1.80231199035551
"100",28,88,505,1.80616677743092
"105",28,38,705,1.80841352616845
"405",79,221,701,1.81521548292205
"1019",205,25,703,1.82279712731963
"1143",219,47,705,1.83604616989642
"864",176,76,705,1.83969720696339
"196",38,230,509,1.84170065785754
"206",38,230,505,1.84170065785754
"937",192,48,706,1.84378075331789
"1035",207,159,507,1.84559370138472
"1041",207,99,714,1.84559370138472
"186",36,187,714,1.85057017779818
"799",163,187,503,1.85057017779818
"456",93,155,507,1.85465026148532
"442",91,149,509,1.86218938411959
"117",29,25,701,1.86767404095767
"110",29,163,507,1.87921840203489
"111",29,36,715,1.87921840203489
"116",29,163,507,1.87921840203489
"343",64,171,507,1.88777972176681
"1217",230,126,505,1.89296972960195
"984",199,88,507,1.91194807386344
"82",26,114,701,1.91645910112114
"85",26,47,509,1.91645910112114
"88",26,47,505,1.91645910112114
"1028",206,110,509,1.91645910112114
"1031",206,47,505,1.91645910112114
"1033",206,148,715,1.91645910112114
"232",43,72,507,1.91710332486121
"1204",229,72,505,1.91710332486121
"279",49,43,503,1.91792341448926
"517",104,25,507,1.92152633732331
"1182",225,108,505,1.92807147776614
"771",155,33,503,1.93529381692681
"794",163,113,503,1.95410273214402
"740",146,191,507,1.95874704142476
"59",21,229,505,1.95949360817502
"914",187,207,701,1.96247987517605
"498",99,110,707,1.96623853473644
"502",99,114,503,1.96623853473644
"504",99,105,505,1.96623853473644
"786",159,148,714,1.96623853473644
"789",159,148,509,1.96623853473644
"703",142,4,703,1.97260243578543
"419",88,71,714,1.97394243192749
"1114",216,50,509,1.97922285746872
"925",190,53,507,1.98987182663769
"261",47,27,509,1.99117063567767
"119",29,38,701,2.01035963753963
"227",41,193,505,2.01072463005251
"719",144,110,714,2.013252444262
"721",144,148,715,2.013252444262
"403",79,209,715,2.02597818284038
"907",184,189,507,2.0261985482354
"651",130,73,503,2.02690768728248
"535",109,228,509,2.03401145817864
"284",50,137,703,2.03489385509137
"1015",203,157,714,2.04145233549868
"17",4,205,507,2.04969668663291
"549",112,182,507,2.05162710608477
"555",112,182,503,2.05162710608477
"1119",216,88,507,2.05298980244013
"53",20,187,714,2.05625603197252
"1088",213,187,503,2.05625603197252
"524",105,192,505,2.06270221868026
"569",114,21,509,2.06270221868026
"1057",209,131,505,2.07944520097292
"115",29,20,706,2.08412658251104
"594",120,227,701,2.08758001601899
"31",7,35,509,2.0911325548466
"946",193,213,706,2.12900349614908
"264",48,152,505,2.13544110405568
"265",48,152,509,2.13544110405568
"267",48,152,503,2.13544110405568
"441",91,224,707,2.13990023577668
"552",112,103,505,2.14998303271332
"1092",213,113,507,2.15978858631837
"742",147,6,706,2.17639592713812
"931",191,121,707,2.17668127747609
"936",191,50,701,2.17668127747609
"1162",221,75,715,2.17700123465477
"1056",209,145,505,2.17780112760148
"181",36,96,507,2.17842326656003
"187",36,96,509,2.17842326656003
"189",36,33,507,2.17842326656003
"38",8,3,507,2.18146995877656
"40",8,56,706,2.18146995877656
"541",111,52,705,2.18516037389772
"894",181,43,503,2.18516037389772
"895",181,43,503,2.18516037389772
"418",88,23,705,2.20812320961452
"955",194,50,507,2.2115268810068
"429",90,32,503,2.21728013904565
"727",144,75,703,2.22401514418033
"472",94,187,707,2.23163028658433
"479",94,109,505,2.23163028658433
"872",179,111,509,2.23469124055127
"1141",219,76,705,2.23841132428596
"1044",208,214,509,2.25568123818607
"113",29,94,509,2.25883776796966
"501",99,50,505,2.2613063146221
"182",36,8,509,2.26470039518157
"360",70,73,505,2.28078279872052
"1097",213,116,503,2.28768174168677
"286",50,124,701,2.32862648665176
"1163",221,88,707,2.33507325959352
"466",94,113,503,2.33516284093017
"508",102,145,503,2.34234981094095
"805",163,145,705,2.34234981094095
"643",128,38,715,2.35142418118872
"606",122,35,703,2.35441044818975
"194",37,78,507,2.35590358169027
"563",113,34,505,2.36147313927612
"566",113,34,505,2.36147313927612
"37",7,99,509,2.37214948807104
"390",77,215,505,2.37818181203367
"726",144,88,505,2.38208716911908
"285",50,212,507,2.40030287042965
"1090",213,135,507,2.41391394698545
"540",111,194,505,2.41658608361197
"215",39,36,503,2.41774136569135
"757",151,73,706,2.42182452729721
"693",140,190,701,2.43633107938305
"915",187,143,701,2.44669366780894
"39",8,141,505,2.44971339503626
"262",47,215,507,2.45612592519448
"748",148,207,505,2.45612592519448
"562",113,123,505,2.45982906590468
"767",153,55,701,2.47257645069582
"919",189,110,703,2.47398875761253
"921",189,110,505,2.47398875761253
"922",189,148,714,2.47398875761253
"923",189,148,509,2.47398875761253
"1130",217,58,701,2.47398875761253
"734",145,40,701,2.48638928723403
"446",91,116,705,2.48703880034805
"883",180,155,701,2.48820668931645
"911",187,176,507,2.5034374716331
"330",58,228,705,2.52765750819706
"50",20,145,503,2.54803566511529
"1030",206,153,701,2.54874720087613
"280",49,36,503,2.57362959201295
"1144",219,73,509,2.57371561961057
"1148",219,73,505,2.57371561961057
"1196",227,73,507,2.57371561961057
"1055",209,140,505,2.58016628199102
"766",153,169,714,2.59903407064681
"1002",202,179,701,2.61984992085403
"749",148,171,703,2.62824879679445
"1210",229,155,509,2.6677143438686
"706",142,58,507,2.6714471776199
"707",142,168,505,2.6714471776199
"377",73,170,714,2.67203005820315
"195",38,75,715,2.68475145753086
"882",179,175,509,2.6983691803716
"509",102,140,503,2.74471496533049
"796",163,76,703,2.74471496533049
"672",134,38,707,2.74634102120345
"426",89,163,503,2.74683873237029
"1095",213,75,509,2.75879836503362
"553",112,116,707,2.77483244894179
"1178",224,227,509,2.78449208663323
"1051",209,25,505,2.81008922735647
"1131",217,88,507,2.84282348246961
"42",8,143,503,2.86239560466656
"434",90,142,505,2.91982247210675
"705",142,50,703,2.96651495750556
"548",112,114,507,3.03518637237031
"704",142,140,503,3.07381233200944
"209",38,25,703,3.10627685736752
"1091",213,152,507,3.11547370335695
"64",22,201,505,3.24297333822291
"570",114,201,503,3.24297333822291
"559",112,75,505,3.24594907228864
"388",76,104,503,3.25344185445104
"868",179,148,706,3.28850474014292
"873",179,148,505,3.28850474014292
"876",179,148,507,3.28850474014292
"387",75,210,507,3.31402746447573
"547",112,88,507,3.40402109722739
"34",7,112,715,3.4370557613426
"4",2,112,505,3.60160444468208
"420",88,35,505,3.61320787573673
