Judge,A,B,choseA,choseB,Candidate.Chosen,Candidate.Not.Chosen
1,89,95,1,0,89,95
1,83,103,0,1,103,83
1,88,106,0,1,106,88
1,92,107,0,1,107,92
1,109,94,1,0,109,94
6,95,94,1,0,95,94
6,92,95,0,1,95,92
6,87,92,0,1,92,87
6,82,87,1,0,82,87
6,89,82,0,1,82,89
6,81,89,1,0,81,89
6,106,81,1,0,106,81
6,102,106,0,1,106,102
6,91,102,0,1,102,91
6,810,91,0,1,91,810
6,93,810,1,0,93,810
6,84,93,0,1,93,84
6,85,84,1,0,85,84
6,109,85,1,0,109,85
6,103,109,1,0,103,109
6,105,103,0,1,103,105
6,108,105,0,1,105,108
6,1010,108,0,1,108,1010
6,107,1010,1,0,107,1010
6,86,107,0,1,107,86
6,83,86,1,0,83,86
6,101,83,0,1,83,101
6,92,101,0,1,101,92
6,88,92,1,0,88,92
6,94,88,1,0,94,88
6,95,94,1,0,95,94
6,82,95,1,0,82,95
6,87,82,0,1,82,87
6,89,87,1,0,89,87
6,106,89,1,0,106,89
6,103,106,0,1,106,103
6,810,103,0,1,103,810
6,93,810,1,0,93,810
6,91,93,1,0,91,93
6,85,91,1,0,85,91
6,84,85,0,1,85,84
6,109,84,1,0,109,84
6,102,109,0,1,109,102
6,1010,102,1,0,1010,102
6,88,1010,0,1,1010,88
6,94,88,1,0,94,88
6,95,94,1,0,95,94
6,92,95,1,0,92,95
6,101,92,1,0,101,92
6,83,101,1,0,83,101
6,86,83,1,0,86,83
6,107,86,1,0,107,86
6,108,107,1,0,108,107
6,105,108,0,1,108,105
6,106,105,0,1,105,106
7,82,91,0,1,91,82
7,89,82,1,0,89,82
7,87,89,0,1,89,87
7,85,87,1,0,85,87
7,84,85,0,1,85,84
7,810,84,0,1,84,810
7,103,810,1,0,103,810
7,93,103,0,1,103,93
7,109,93,1,0,109,93
7,92,109,0,1,109,92
7,88,92,1,0,88,92
7,94,88,1,0,94,88
7,95,94,1,0,95,94
7,89,95,1,0,89,95
7,91,89,0,1,89,91
7,82,91,0,1,91,82
7,106,82,1,0,106,82
7,105,106,1,0,105,106
7,108,105,0,1,105,108
7,107,108,0,1,108,107
7,1010,107,1,0,1010,107
7,86,1010,0,1,1010,86
7,101,86,0,1,86,101
7,83,101,1,0,83,101
7,87,83,0,1,83,87
7,810,87,1,0,810,87
7,85,810,0,1,810,85
7,84,85,1,0,84,85
7,93,84,0,1,84,93
7,92,93,1,0,92,93
7,105,92,1,0,105,92
7,106,105,1,0,106,105
7,1010,106,0,1,106,1010
7,107,1010,1,0,107,1010
7,108,107,1,0,108,107
7,86,108,0,1,108,86
7,101,86,0,1,86,101
7,83,101,1,0,83,101
7,82,83,0,1,83,82
7,91,82,1,0,91,82
7,89,91,1,0,89,91
7,94,89,0,1,89,94
7,95,94,0,1,94,95
7,88,95,0,1,95,88
7,85,88,1,0,85,88
7,84,85,0,1,85,84
7,103,84,1,0,103,84
7,104,103,1,0,104,103
7,810,104,0,1,104,810
7,92,810,1,0,92,810
9,103,104,1,0,103,104
9,104,103,0,1,103,104
9,93,104,0,1,104,93
9,104,93,1,0,104,93
9,109,104,0,1,104,109
9,94,109,0,1,109,94
9,95,94,1,0,95,94
9,109,95,1,0,109,95
9,81,109,1,0,81,109
9,88,81,0,1,81,88
9,89,88,1,0,89,88
9,81,89,1,0,81,89
9,91,81,0,1,81,91
9,82,91,1,0,82,91
9,81,82,1,0,81,82
9,107,81,1,0,107,81
9,104,107,1,0,104,107
9,81,104,0,1,104,81
9,104,81,1,0,104,81
9,81,104,0,1,104,81
9,104,81,1,0,104,81
9,87,104,0,1,104,87
9,106,87,1,0,106,87
9,83,101,0,1,101,83
9,87,108,1,0,87,108
9,103,105,1,0,103,105
9,84,92,1,0,84,92
9,93,810,0,1,810,93
9,94,109,0,1,109,94
9,95,89,0,1,89,95
9,88,91,0,1,91,88
9,104,86,1,0,104,86
9,107,1010,0,1,1010,107
9,82,85,1,0,82,85
9,81,102,1,0,81,102
9,102,103,0,1,103,102
9,105,106,1,0,105,106
9,83,86,0,1,86,83
9,85,87,0,1,87,85
9,109,1010,0,1,1010,109
9,103,101,1,0,103,101
9,95,94,1,0,95,94
9,104,92,1,0,104,92
9,107,810,1,0,107,810
9,88,93,0,1,93,88
9,81,108,1,0,81,108
9,91,82,0,1,82,91
9,89,84,0,1,84,89
9,84,85,0,1,85,84
9,92,810,1,0,92,810
8,86,102,1,0,86,102
8,102,86,0,1,86,102
8,87,102,0,1,102,87
8,105,87,1,0,105,87
8,108,105,0,1,105,108
8,1010,108,0,1,108,1010
8,106,1010,1,0,106,1010
8,102,106,0,1,106,102
8,101,102,1,0,101,102
8,102,101,0,1,101,102
8,83,102,1,0,83,102
8,89,83,0,1,83,89
8,102,93,1,0,102,93
8,83,105,0,1,105,83
8,95,85,0,1,85,95
8,94,84,0,1,84,94
8,86,109,1,0,86,109
8,91,92,0,1,92,91
8,87,82,1,0,87,82
8,1010,104,0,1,104,1010
8,107,81,0,1,81,107
8,810,88,1,0,810,88
8,108,101,1,0,108,101
8,106,103,0,1,103,106
8,810,109,1,0,810,109
8,94,93,0,1,93,94
8,109,101,0,1,101,109
8,88,84,1,0,88,84
8,81,86,1,0,81,86
8,87,107,0,1,107,87
8,82,95,1,0,82,95
8,106,105,1,0,106,105
8,102,89,1,0,102,89
8,83,103,0,1,103,83
8,104,108,1,0,104,108
8,1010,92,1,0,1010,92
8,91,85,1,0,91,85
8,103,93,1,0,103,93
8,81,93,1,0,81,93
8,101,104,0,1,104,101
8,85,89,0,1,89,85
8,1010,86,1,0,1010,86
8,102,94,1,0,102,94
8,810,87,0,1,87,810
8,88,83,0,1,83,88
8,84,92,0,1,92,84
8,106,109,1,0,106,109
8,105,82,1,0,105,82
8,91,108,0,1,108,91
8,95,107,0,1,107,95
