judging_session,Study,project_id,citation,doi,open_data,note,study_name,items,judge_expertise,judging_prompt,adaptivity,comment,source,ssr,sepG,mean_split_corr,mean_eloR,mean_eloR_weighted,elo_btm_correlation,num_pairs,num_pairs_judged,prop_pairs_judged,prop_correct_judgements
Davies2021_expert,Davies et al. (2021)a,Davies2021,"Davies, B., Alcock, L., & Jones, I. (2021). What do mathematicians mean by proof? A comparative-judgement study of students’ and mathematicians’ views. The Journal of Mathematical Behavior, 61, 100824.",10.1016/j.jmathb.2020.100824,FALSE,NA,expert,undergraduate responses to explain what mathematicians mean by proof in 40 words or fewer,expert,better,FALSE,NA,NA,0.828732185,2.41636269,0.679492127,0.690284202,0.787184938,0.98616133,15225,1940,0.127422003,0.788768676
Davies2021_novice,Davies et al. (2021)b,Davies2021,"Davies, B., Alcock, L., & Jones, I. (2021). What do mathematicians mean by proof? A comparative-judgement study of students’ and mathematicians’ views. The Journal of Mathematical Behavior, 61, 100824.",10.1016/j.jmathb.2020.100824,FALSE,NA,novice,undergraduate responses to explain what mathematicians mean by proof in 40 words or fewer,layperson,better,FALSE,NA,NA,0.658300673,1.710716082,0.385181562,0.598629253,0.660292086,0.985572201,15225,1736,0.114022989,0.715517241
Esen2019,Esen (2019),Esen2019,"Esen, Y. D. (2019). Scaling the teachers’ perception of competence regarding measurement and evaluation. [Unpublished Masters dissertation]. Ankara University.",NA,FALSE,NA,NA,"Assessment competencies, e.g. ""giving effective feedback to students based on the exam results""",expert,"In whichever of the two fields in each line you find yourself more competent, check the box next to it. [Translation from the original Turkish]",FALSE,NA,snowballing,0.993827525,12.72829771,0.981932069,0.582019253,0.625550684,0.999534866,28,28,1,0.628773732
Holmes2017,Holmes et al. (2017),Holmes2017,"Holmes, S. D., He, Q., & Meadows, M. (2017). An investigation of construct relevant and irrelevant features of mathematics problem-solving questions using comparative judgement and Kelly’s Repertory Grid. Research in Mathematics Education, 19(2), 112-129.",10.1080/14794802.2017.1334576,FALSE,NA,NA,Student responses to maths GCSE items,expert,Which item best elicits mathematical problem-solving as described by AO3?,FALSE,NA,NA,0.829870495,2.424432967,0.65659357,0.619334678,0.681830811,0.999728405,2145,1650,0.769230769,0.695151515
Hunter2018,Hunter & Jones (2018),Hunter2018,"Hunter, J., & Jones, I. (2018). Free-response tasks in primary mathematics: A window on students’ thinking. Proceedings of the 41st Annual Conference of the Mathematics Education Research Group of Australasia, 41, 400–407. https://eric.ed.gov/?id=ED592426",NA,FALSE,NA,NA,Primary student responses to open-ended maths questions,expert,better response,FALSE,NA,NA,0.905486585,3.252769365,0.777333994,0.757775159,0.867189035,0.982480104,2069595,26160,0.012640154,0.847708997
Isnac2020,İsnaç & Doğan (2020),Isnac2020,"İsnaç, F., & Doğan, C. D. (2020). Scaling of secondary school students' evaluation preferences according to learning approaches. Elementary Education Online, 19 (3), 1284-1294.",10.17051/ilkonline.2020.728048,FALSE,NA,NA,Assessment methods,layperson,What is your preferred method of assessment?,FALSE,judges made all possible paired comparisons between the 8 items,NA,0.988558749,9.348958901,0.966639585,0.552132546,0.578403921,0.998444933,28,28,1,0.602879665
Jones2013a_expert1,Jones & Alcock (2014)a,Jones2013a,"Jones, I., & Alcock, L. (2014). Peer assessment without assessment criteria. Studies in Higher Education, 39(10), 1774–1787. https://doi.org/10.1080/03075079.2013.821974",10.1080/03075079.2013.821974,FALSE,NA,expert1,undergraduate calculus test,expert,which student had demonstrated the better conceptual understanding,TRUE,NA,NA,0.896071514,3.101935041,0.664710708,0.613366593,0.695471664,0.941628128,14028,1119,0.079769033,0.802793755
Jones2013a_expert2,Jones & Alcock (2014)b,Jones2013a,"Jones, I., & Alcock, L. (2014). Peer assessment without assessment criteria. Studies in Higher Education, 39(10), 1774–1787. https://doi.org/10.1080/03075079.2013.821974",10.1080/03075079.2013.821974,FALSE,NA,expert2,undergraduate calculus test,expert,which student had demonstrated the better conceptual understanding,TRUE,NA,NA,0.877500367,2.857147134,0.63554476,0.599318378,0.662889791,0.933809678,14028,1078,0.076846307,0.780608053
Jones2013a_novice,Jones & Alcock (2014)c,Jones2013a,"Jones, I., & Alcock, L. (2014). Peer assessment without assessment criteria. Studies in Higher Education, 39(10), 1774–1787. https://doi.org/10.1080/03075079.2013.821974",10.1080/03075079.2013.821974,FALSE,NA,novice,undergraduate calculus test,layperson,better,TRUE,NA,NA,0.982469538,7.552718803,0.887575929,0.571400443,0.618480359,0.842152258,14028,1086,0.077416595,0.869350863
Jones2013a_peer1,Jones & Alcock (2014)d,Jones2013a,"Jones, I., & Alcock, L. (2014). Peer assessment without assessment criteria. Studies in Higher Education, 39(10), 1774–1787. https://doi.org/10.1080/03075079.2013.821974",10.1080/03075079.2013.821974,FALSE,NA,peer1,undergraduate calculus test,peer,better,TRUE,NA,NA,0.820300876,2.358994995,0.572469423,0.574893505,0.624036279,0.953866598,14028,1089,0.077630453,0.7575
Jones2013a_peer2,Jones & Alcock (2014)e,Jones2013a,"Jones, I., & Alcock, L. (2014). Peer assessment without assessment criteria. Studies in Higher Education, 39(10), 1774–1787. https://doi.org/10.1080/03075079.2013.821974",10.1080/03075079.2013.821974,FALSE,NA,peer2,undergraduate calculus test,peer,better,TRUE,NA,NA,0.841001492,2.50786108,0.606789587,0.588892502,0.646227265,0.971347819,14028,1130,0.080553179,0.778512397
Jones2013b,Jones et al. (2013),Jones2013b,"Jones, I., Inglis, M., Gilmore, C., & Hodgen, J. (2013). Measuring conceptual understanding The case of fractions. In A. M. Lindmeier & A. Heinze (Eds.), Proceedings of the 37th Conference of the International Group for the Psychology of Mathematics Education (Vol. 3, pp. 113–120). IGPME.",NA,FALSE,NA,NA,Secondary student responses to a fractions test question,expert,better conceptual understanding,TRUE,NA,NA,0.956141809,4.775013902,0.858519232,0.643062068,0.736966757,0.98970906,300,179,0.596666667,0.7475
Jones2014_Bowland030211data,Jones et al. (2014)a,Jones2014,"Jones, I., Swan, M., & Pollitt, A. (2014). Assessing mathematical problem solving using comparative judgement. International Journal of Science and Mathematics Education, 13(1), 151–177. https://doi.org/10.1007/s10763-013-9497-6",10.1007/s10763-013-9497-6,FALSE,NA,Bowland030211data,Secondary student responses to problem solving questions,expert,which candidate is the more able mathematician?,TRUE,NA,NA,0.853461531,2.612306762,0.782488072,0.696603068,0.788382317,0.974309126,153,99,0.647058824,0.815028902
Jones2014_Bowland070211data,Jones et al. (2014)b,Jones2014,"Jones, I., Swan, M., & Pollitt, A. (2014). Assessing mathematical problem solving using comparative judgement. International Journal of Science and Mathematics Education, 13(1), 151–177. https://doi.org/10.1007/s10763-013-9497-6",10.1007/s10763-013-9497-6,FALSE,NA,Bowland070211data,Secondary student responses to problem solving questions,expert,which candidate is the more able mathematician?,TRUE,NA,NA,0.870268596,2.776370624,0.82911027,0.756849252,0.868114035,0.973886028,153,81,0.529411765,0.888111888
Jones2014_GCSE030211data,Jones et al. (2014)c,Jones2014,"Jones, I., Swan, M., & Pollitt, A. (2014). Assessing mathematical problem solving using comparative judgement. International Journal of Science and Mathematics Education, 13(1), 151–177. https://doi.org/10.1007/s10763-013-9497-6",10.1007/s10763-013-9497-6,FALSE,NA,GCSE030211data,Secondary student responses to GCSE maths questions,expert,which candidate is the more able mathematician?,TRUE,NA,NA,0.776369544,2.114630665,0.578581771,0.631564823,0.716464575,0.995075121,153,91,0.594771242,0.735099338
Jones2014_GCSE070211data,Jones et al. (2014)d,Jones2014,"Jones, I., Swan, M., & Pollitt, A. (2014). Assessing mathematical problem solving using comparative judgement. International Journal of Science and Mathematics Education, 13(1), 151–177. https://doi.org/10.1007/s10763-013-9497-6",10.1007/s10763-013-9497-6,FALSE,NA,GCSE070211data,Secondary student responses to GCSE maths questions,expert,which candidate is the more able mathematician?,TRUE,NA,NA,0.90274102,3.206528796,0.801990671,0.712788524,0.828845159,0.980328347,153,84,0.549019608,0.853333333
Jones2015a_all-scripts,Jones & Inglis (2015)a,Jones2015a,"Jones, I., & Inglis, M. (2015). The problem of assessing problem solving: Can comparative judgement help? Educational Studies in Mathematics, 89(3), 337–355. https://doi.org/10.1007/s10649-015-9607-1",10.1007/s10649-015-9607-1,FALSE,NA,all-scripts,Secondary student responses to problem-solving maths questions,expert,most mathematically able,unknown,NA,NA,0.971407862,5.913936853,0.786848814,0.57434923,0.622786369,0.867960105,280875,3553,0.012649755,0.956473524
Jones2015a_subset-of-scripts,Jones & Inglis (2015)b,Jones2015a,"Jones, I., & Inglis, M. (2015). The problem of assessing problem solving: Can comparative judgement help? Educational Studies in Mathematics, 89(3), 337–355. https://doi.org/10.1007/s10649-015-9607-1",10.1007/s10649-015-9607-1,FALSE,NA,subset-of-scripts,Secondary student responses to problem-solving maths questions,expert,most mathematically able,unknown,NA,NA,0.960284317,5.017865135,0.79336936,0.580645177,0.661272638,0.889849431,31125,1152,0.037012048,0.9264
Jones2015b,Jones & Wheadon (2015),Jones2015b,"Jones, I., & Wheadon, C. (2015). Peer assessment using comparative and absolute judgement. Studies in Educational Evaluation, 47, 93–101. https://doi.org/10.1016/j.stueduc.2015.09.004",10.1016/j.stueduc.2015.09.004,FALSE,NA,NA,Secondary student responses to a fractions test question,peer,better understanding of fractions,unknown,NA,NA,0.950226084,4.482281167,0.919932584,0.655265641,0.724285796,0.999767109,276,276,1,0.690368129
Jones2016b_perfect,Jones et al. (2016)a,Jones2016b,"Jones, I., Wheadon, C., Humphries, S., & Inglis, M. (2016). Fifty years of A-level mathematics: Have standards changed? British Educational Research Journal, 42(4), 543–560. https://doi.org/10.1002/berj.3224",10.1002/berj.3224,FALSE,NA,perfect,Perfect GCSE maths scripts,expert,which student you think is the better mathematician,unknown,NA,NA,0.879230894,2.877544669,0.719745962,0.688514774,0.775727301,0.999675591,703,480,0.682788051,0.764197531
Jones2016b_realscripts,Jones et al. (2016)b,Jones2016b,"Jones, I., Wheadon, C., Humphries, S., & Inglis, M. (2016). Fifty years of A-level mathematics: Have standards changed? British Educational Research Journal, 42(4), 543–560. https://doi.org/10.1002/berj.3224",10.1002/berj.3224,FALSE,NA,realscripts,GCSE maths scripts,expert,which student you think is the better mathematician,unknown,NA,NA,0.826481653,2.400641446,0.616805387,0.714069621,0.817833751,0.969447395,148785,4908,0.032987196,0.821
Jones2017,Jones & Sirl (2017),Jones2017,"Jones, I., & Sirl, D. (2017). Peer assessment of mathematical understanding using comparative judgement. Nordic Studies in Mathematics Education, 22(4), 147–164.",NA,FALSE,NA,NA,undergraduate calculus test,peer,the better understanding,TRUE,NA,NA,0.89870487,3.141996643,0.79646261,0.694696571,0.785281488,0.996484121,9591,2778,0.289646544,0.76335175
Jones2019,Jones et al. (2019,Jones2019,"Jones, I., Bisson, M., Gilmore, C., & Inglis, M. (2019). Measuring conceptual understanding in randomised controlled trials: Can comparative judgement help? British Educational Research Journal, 45(3), 662–680. https://doi.org/10.1002/berj.3519",10.1002/berj.3519,https://lboro.figshare.com/s/2d4cfa 142ebf1ff24841,NA,NA,Primary student responses to an open-ended algebra test question,expert,which student demonstrated the better conceptual understanding of the use of letters in algebra,FALSE,NA,NA,0.868981661,2.762701447,0.745580365,0.760576621,0.866111828,0.984265318,17766,1890,0.106382979,0.866137566
Jones2020_brightness-equalised,S. Jones et al. (2020)a,Jones2020,"Jones, S. R., Scott, C. J., Barnard, L. A., Highfield, R., Lintott, C. J., & Baeten, E. (2020). The visual complexity of coronal mass ejections follows the solar cycle. Space Weather, 18(10), e2020SW002556.",10.1029/2020sw002556,"The paired comparison data from “Protect our Planet from Solar Storms” can be found at https://figshare.com/s/7e0270daa8153bb0416e, and the code used is available at https://github.com/S-hannon/complexity-solar-cycle website",NA,brightness-equalised,"images of coronal mass ejections, with images edited to have the same brightness (see section 4.2.3 of the paper)",layperson,which of these two storms looks the most complicated?,FALSE,NA,NA,0.98566567,8.352400241,0.94095797,NA,NA,NA,616605,20194,0.032750302,0.775167436
Jones2020_main-study,S. Jones et al. (2020)b,Jones2020,"Jones, S. R., Scott, C. J., Barnard, L. A., Highfield, R., Lintott, C. J., & Baeten, E. (2020). The visual complexity of coronal mass ejections follows the solar cycle. Space Weather, 18(10), e2020SW002556.",10.1029/2020sw002556,"The paired comparison data from “Protect our Planet from Solar Storms” can be found at https://figshare.com/s/7e0270daa8153bb0416e, and the code used is available at https://github.com/S-hannon/complexity-solar-cycle website",NA,main-study,images of coronal mass ejections,layperson,which of these two storms looks the most complicated?,FALSE,NA,NA,0.991956729,11.15022558,0.976011926,NA,NA,NA,616605,20188,0.032740571,0.796495225
Kinnear2021_experts-even,Kinnear et al. (2021)a,Kinnear2021,"Kinnear, G., et al. (2021). Using compative judgement [Unpublished undergraduate dissertation]. The University of Edinburgh.",NA,FALSE,NA,experts-even,Diagnostic test questions (even-numbered),expert,which question do you think Year 1 students find most difficult?,FALSE,NA,snowballing,0.849113554,2.574393236,0.722283984,0.684904584,0.77572056,0.994221857,45,45,1,0.7625
Kinnear2021_experts-odd,Kinnear et al. (2021)b,Kinnear2021,"Kinnear, G., et al. (2021). Using compative judgement [Unpublished undergraduate dissertation]. The University of Edinburgh.",NA,FALSE,NA,experts-odd,Diagnostic test questions (odd-numbered),expert,which question do you think Year 1 students find most difficult?,FALSE,NA,snowballing,0.846885846,2.555596769,0.591146977,0.662255818,0.757118028,0.997957048,45,45,1,0.740331492
Kinnear2021_experts-withsolutions,Kinnear et al. (2021)c,Kinnear2021,"Kinnear, G., et al. (2021). Using compative judgement [Unpublished undergraduate dissertation]. The University of Edinburgh.",NA,FALSE,NA,experts-withsolutions,Diagnostic test questions,expert,which question do you think Year 1 students find most difficult?,FALSE,NA,snowballing,0.834535053,2.458368585,0.66455422,0.678162078,0.760357493,0.999714014,190,189,0.994736842,0.745033113
Kinnear2021_students-even,Kinnear et al. (2021)d,Kinnear2021,"Kinnear, G., et al. (2021). Using compative judgement [Unpublished undergraduate dissertation]. The University of Edinburgh.",NA,FALSE,NA,students-even,Diagnostic test questions (even-numbered),novice,which question do you think Year 1 students find most difficult?,FALSE,NA,snowballing,0.884471017,2.942080324,0.700139508,0.699990383,0.793507336,0.999908601,45,45,1,0.765
Kinnear2021_students-odd,Kinnear et al. (2021)e,Kinnear2021,"Kinnear, G., et al. (2021). Using compative judgement [Unpublished undergraduate dissertation]. The University of Edinburgh.",NA,FALSE,NA,students-odd,Diagnostic test questions (odd-numbered),novice,which question do you think Year 1 students find most difficult?,FALSE,NA,snowballing,0.803516738,2.255990257,0.522429103,0.639248614,0.694966997,0.999943231,45,45,1,0.697674419
Kinnear2021_students-withoutsolutions,Kinnear et al. (2021)f,Kinnear2021,"Kinnear, G., et al. (2021). Using compative judgement [Unpublished undergraduate dissertation]. The University of Edinburgh.",NA,FALSE,NA,students-withoutsolutions,Diagnostic test questions (with no solutions shown),novice,which question do you think Year 1 students find most difficult?,FALSE,NA,snowballing,0.774094345,2.103955009,0.590992288,0.604341416,0.654415832,0.999643365,190,189,0.994736842,0.677272727
Kinnear2021_students-withsolutions,Kinnear et al. (2021)g,Kinnear2021,"Kinnear, G., et al. (2021). Using compative judgement [Unpublished undergraduate dissertation]. The University of Edinburgh.",NA,FALSE,NA,students-withsolutions,Diagnostic test questions,novice,which question do you think Year 1 students find most difficult?,FALSE,NA,snowballing,0.769835673,2.084399658,0.583171407,0.623328285,0.674162997,0.999643215,190,190,1,0.703791469
Kinnear2021_students-withsolutions1,Kinnear et al. (2021)h,Kinnear2021,"Kinnear, G., et al. (2021). Using compative judgement [Unpublished undergraduate dissertation]. The University of Edinburgh.",NA,FALSE,NA,students-withsolutions1,Diagnostic test questions,novice,which question do you think Year 1 students find most difficult?,FALSE,NA,snowballing,0.568550004,1.522420997,0.398064821,0.593004089,0.657126606,0.99594055,190,142,0.747368421,0.690140845
Kinnear2021_students-withsolutions2,Kinnear et al. (2021)i,Kinnear2021,"Kinnear, G., et al. (2021). Using compative judgement [Unpublished undergraduate dissertation]. The University of Edinburgh.",NA,FALSE,NA,students-withsolutions2,Diagnostic test questions,novice,which question do you think Year 1 students find most difficult?,FALSE,NA,snowballing,0.679235575,1.765659284,0.250532911,0.58149223,0.631360326,0.999748833,190,190,1,0.64652568
Luckett2018_cola,Luckett et al. (2018)a,Luckett2018,"Luckett, C., Burns, S., & Jenkinson, L. (2018, September 21). Estimates of Relative Acceptability from Paired Preferences. https://doi.org/10.31234/osf.io/gvq97",10.31234/osf.io/gvq97,https://doi.org/10.17605/OSF.IO/SGJ6N,NA,cola,samples of commercially available cola-flavored sodas,layperson,identify the samples they preferred,FALSE,NA,NA,0.873290169,2.80927882,0.836025444,0.541315486,0.561490931,0.99980066,15,15,1,0.592929293
Luckett2018_coldbrew,Luckett et al. (2018)b,Luckett2018,"Luckett, C., Burns, S., & Jenkinson, L. (2018, September 21). Estimates of Relative Acceptability from Paired Preferences. https://doi.org/10.31234/osf.io/gvq97",10.31234/osf.io/gvq97,https://doi.org/10.17605/OSF.IO/SGJ6N,NA,coldbrew,samples of cold-brew coffee,layperson,identify the samples they preferred,FALSE,NA,NA,0.738578611,1.955822513,0.813786114,0.531265339,0.545139849,0.999812455,3,3,1,0.58
Luckett2018_icecream,Luckett et al. (2018)c,Luckett2018,"Luckett, C., Burns, S., & Jenkinson, L. (2018, September 21). Estimates of Relative Acceptability from Paired Preferences. https://doi.org/10.31234/osf.io/gvq97",10.31234/osf.io/gvq97,https://doi.org/10.17605/OSF.IO/SGJ6N,NA,icecream,samples of commercially available vanilla ice creams,layperson,identify the samples they preferred,FALSE,NA,NA,0.512968919,1.432919066,0.494936934,0.513522779,0.519787652,0.996713943,10,10,1,0.577011494
Luckett2018_pizza,Luckett et al. (2018)d,Luckett2018,"Luckett, C., Burns, S., & Jenkinson, L. (2018, September 21). Estimates of Relative Acceptability from Paired Preferences. https://doi.org/10.31234/osf.io/gvq97",10.31234/osf.io/gvq97,https://doi.org/10.17605/OSF.IO/SGJ6N,NA,pizza,samples of commercially available frozen four-cheese pizzas,layperson,identify the samples they preferred,FALSE,NA,NA,0.667112797,1.733211054,0.652639451,0.528542498,0.54241531,0.999284112,10,10,1,0.584210526
LuckettX_odor-familiar,Luckett (n.d.)a,LuckettX,"Luckett, C. (n.d.) Unpublished data.",NA,FALSE,NA,odor-familiar,"samples of odors (vanillin, linalool, r-carvone, pentyl acetate, phenylethyl alcohol, methyl scalicylate)",layperson,which odor is more familiar,FALSE,NA,snowballing,0.91169183,3.365112265,0.834866329,0.587172677,0.626326114,0.999520104,10,10,1,0.634615385
