study,judge,candidate_chosen,candidate_not_chosen
experts-withsolutions,90,12,13
experts-withsolutions,90,9,18
experts-withsolutions,90,10,15
experts-withsolutions,90,4,11
experts-withsolutions,90,3,11
experts-withsolutions,90,19,17
experts-withsolutions,90,1,16
experts-withsolutions,90,7,2
experts-withsolutions,90,14,6
experts-withsolutions,90,1,20
experts-withsolutions,90,2,13
experts-withsolutions,90,14,18
experts-withsolutions,90,10,9
experts-withsolutions,90,5,8
experts-withsolutions,90,3,19
experts-withsolutions,90,12,1
experts-withsolutions,91,16,17
experts-withsolutions,91,7,4
experts-withsolutions,91,20,6
experts-withsolutions,91,11,13
experts-withsolutions,91,15,18
experts-withsolutions,91,2,10
experts-withsolutions,91,5,2
experts-withsolutions,91,14,3
experts-withsolutions,91,19,16
experts-withsolutions,91,12,17
experts-withsolutions,91,14,8
experts-withsolutions,91,7,9
experts-withsolutions,91,7,20
experts-withsolutions,91,7,13
experts-withsolutions,91,6,18
experts-withsolutions,91,5,10
experts-withsolutions,91,15,16
experts-withsolutions,91,11,1
experts-withsolutions,91,3,14
experts-withsolutions,91,4,1
experts-withsolutions,91,19,14
experts-withsolutions,91,7,12
experts-withsolutions,91,8,16
experts-withsolutions,91,11,9
experts-withsolutions,91,20,4
experts-withsolutions,92,9,13
experts-withsolutions,92,18,1
experts-withsolutions,92,10,17
experts-withsolutions,92,8,15
experts-withsolutions,92,5,6
experts-withsolutions,95,1,15
experts-withsolutions,92,3,18
experts-withsolutions,92,19,11
experts-withsolutions,95,2,3
experts-withsolutions,92,12,6
experts-withsolutions,95,12,6
experts-withsolutions,92,20,12
experts-withsolutions,92,13,16
experts-withsolutions,92,10,16
experts-withsolutions,95,7,20
experts-withsolutions,92,5,13
experts-withsolutions,95,14,5
experts-withsolutions,92,4,16
experts-withsolutions,92,19,8
experts-withsolutions,92,9,17
experts-withsolutions,95,16,4
experts-withsolutions,92,18,15
experts-withsolutions,95,1,18
experts-withsolutions,92,10,3
experts-withsolutions,95,10,7
experts-withsolutions,95,11,20
experts-withsolutions,92,16,11
experts-withsolutions,92,19,1
experts-withsolutions,95,19,6
experts-withsolutions,92,8,16
experts-withsolutions,95,10,8
experts-withsolutions,92,9,5
experts-withsolutions,95,11,9
experts-withsolutions,92,2,17
experts-withsolutions,95,17,2
experts-withsolutions,95,13,3
experts-withsolutions,95,7,15
experts-withsolutions,92,7,13
experts-withsolutions,92,4,13
experts-withsolutions,95,19,4
experts-withsolutions,92,12,6
experts-withsolutions,95,2,12
experts-withsolutions,95,14,19
experts-withsolutions,95,7,20
experts-withsolutions,95,18,6
experts-withsolutions,95,20,15
experts-withsolutions,95,3,5
experts-withsolutions,95,1,8
experts-withsolutions,95,16,9
experts-withsolutions,95,9,17
experts-withsolutions,97,7,14
experts-withsolutions,97,1,18
experts-withsolutions,96,5,18
experts-withsolutions,96,10,8
experts-withsolutions,97,10,4
experts-withsolutions,96,15,18
experts-withsolutions,96,11,13
experts-withsolutions,96,3,17
experts-withsolutions,96,5,12
experts-withsolutions,96,2,1
experts-withsolutions,96,11,14
experts-withsolutions,97,8,15
experts-withsolutions,96,20,12
experts-withsolutions,96,2,3
experts-withsolutions,96,4,3
experts-withsolutions,96,19,8
experts-withsolutions,96,9,6
experts-withsolutions,97,20,17
experts-withsolutions,96,18,17
experts-withsolutions,96,10,14
experts-withsolutions,96,6,13
experts-withsolutions,96,15,16
experts-withsolutions,96,2,11
experts-withsolutions,97,1,14
experts-withsolutions,96,5,4
experts-withsolutions,96,19,8
experts-withsolutions,96,7,12
experts-withsolutions,96,10,9
experts-withsolutions,96,20,8
experts-withsolutions,97,7,5
experts-withsolutions,96,3,13
experts-withsolutions,96,7,15
experts-withsolutions,97,6,13
experts-withsolutions,97,11,3
experts-withsolutions,97,7,4
experts-withsolutions,97,19,15
experts-withsolutions,97,9,12
experts-withsolutions,97,3,2
experts-withsolutions,97,17,15
experts-withsolutions,97,14,1
experts-withsolutions,97,20,8
experts-withsolutions,97,20,18
experts-withsolutions,97,10,7
experts-withsolutions,97,5,11
experts-withsolutions,97,3,4
experts-withsolutions,97,19,6
experts-withsolutions,97,16,12
experts-withsolutions,97,9,2
experts-withsolutions,97,20,17
experts-withsolutions,97,14,9
experts-withsolutions,98,15,13
experts-withsolutions,98,20,18
experts-withsolutions,98,10,15
experts-withsolutions,98,11,6
experts-withsolutions,98,5,17
experts-withsolutions,98,4,12
experts-withsolutions,98,19,11
experts-withsolutions,98,7,16
experts-withsolutions,98,2,9
experts-withsolutions,98,13,1
experts-withsolutions,98,19,14
experts-withsolutions,98,12,18
experts-withsolutions,98,10,6
experts-withsolutions,98,5,11
experts-withsolutions,98,4,11
experts-withsolutions,98,8,6
experts-withsolutions,98,7,16
experts-withsolutions,98,2,17
experts-withsolutions,98,13,1
experts-withsolutions,98,3,14
experts-withsolutions,98,9,18
experts-withsolutions,98,10,11
experts-withsolutions,98,5,12
experts-withsolutions,98,4,12
experts-withsolutions,98,19,4
experts-withsolutions,117,8,18
experts-withsolutions,117,7,16
