judge,time_taken,candidate_chosen,candidate_not_chosen,group
570023-570014-58840172@x.xx,57565,TBEEEN,Y6JTCZ,Rutgers
570023-570014-58840172@x.xx,10426,69J9SW,URVVWM,Rutgers
570023-570014-58840172@x.xx,15082,PXSQJB,HPPDXP,Rutgers
570023-570014-58840172@x.xx,8673,Y6JTCZ,WP7BYJ,Rutgers
570023-570014-58840172@x.xx,16706,7VAUKB,WP7BYJ,Rutgers
570023-570014-58840172@x.xx,5654,PXSQJB,69J9SW,Rutgers
570023-570014-58840172@x.xx,6924,HPPDXP,Y6JTCZ,Rutgers
570023-570014-58840172@x.xx,3046,N2Q9EZ,WP7BYJ,Rutgers
570023-570014-58840172@x.xx,14635,7VAUKB,HPPDXP,Rutgers
570023-570014-58840172@x.xx,2498,N2Q9EZ,URVVWM,Rutgers
570023-570014-58840172@x.xx,6472,N2Q9EZ,69J9SW,Rutgers
570023-570014-58840172@x.xx,3415,TBEEEN,URVVWM,Rutgers
570023-570014-58840172@x.xx,2910,7VAUKB,Y6JTCZ,Rutgers
570023-570014-58840172@x.xx,9329,69J9SW,Y6JTCZ,Rutgers
570023-570014-58840172@x.xx,3132,HPPDXP,URVVWM,Rutgers
570023-570014-58840172@x.xx,2070,TBEEEN,Y6JTCZ,Rutgers
570023-570014-58840538@x.xx,68496,HPPDXP,WP7BYJ,Rutgers
570023-570014-58840538@x.xx,246312,7VAUKB,WP7BYJ,Rutgers
570023-570014-58840538@x.xx,104228,TBEEEN,69J9SW,Rutgers
570023-570014-58840538@x.xx,60140,N2Q9EZ,PXSQJB,Rutgers
570023-570014-58840538@x.xx,62688,7VAUKB,HPPDXP,Rutgers
570023-570014-58840538@x.xx,19967,N2Q9EZ,Y6JTCZ,Rutgers
570023-570014-58840538@x.xx,15115,69J9SW,HPPDXP,Rutgers
570023-570014-58840538@x.xx,24856,Y6JTCZ,TBEEEN,Rutgers
570023-570014-58840538@x.xx,6264,N2Q9EZ,WP7BYJ,Rutgers
570023-570014-58840538@x.xx,6238,7VAUKB,Y6JTCZ,Rutgers
570023-570014-58840538@x.xx,12353,7VAUKB,URVVWM,Rutgers
570023-570014-58840538@x.xx,17638,7VAUKB,69J9SW,Rutgers
570023-570014-58840538@x.xx,12788,TBEEEN,URVVWM,Rutgers
570023-570014-58840538@x.xx,12776,PXSQJB,URVVWM,Rutgers
570023-570014-58840538@x.xx,20129,Y6JTCZ,WP7BYJ,Rutgers
570023-570014-58840538@x.xx,3683,7VAUKB,69J9SW,Rutgers
570023-570014-58840538@x.xx,3498,Y6JTCZ,TBEEEN,Rutgers
570023-570014-58840538@x.xx,28700,HPPDXP,PXSQJB,Rutgers
570023-570014-58840538@x.xx,3688,WP7BYJ,URVVWM,Rutgers
570023-570014-58840538@x.xx,5757,69J9SW,TBEEEN,Rutgers
570023-570014-58840592@x.xx,97686,7VAUKB,WP7BYJ,Rutgers
570023-570014-58840592@x.xx,45573,TBEEEN,69J9SW,Rutgers
570023-570014-58840592@x.xx,47278,PXSQJB,HPPDXP,Rutgers
570023-570014-58840592@x.xx,26511,N2Q9EZ,7VAUKB,Rutgers
570023-570014-58840592@x.xx,36894,TBEEEN,URVVWM,Rutgers
570023-570014-58840592@x.xx,8796,HPPDXP,69J9SW,Rutgers
570023-570014-58840592@x.xx,23614,PXSQJB,N2Q9EZ,Rutgers
570023-570014-58840592@x.xx,4732,7VAUKB,URVVWM,Rutgers
570023-570014-58840592@x.xx,6721,Y6JTCZ,WP7BYJ,Rutgers
570023-570014-58840592@x.xx,12219,69J9SW,WP7BYJ,Rutgers
570023-570014-58840592@x.xx,14086,PXSQJB,TBEEEN,Rutgers
570023-570014-58840592@x.xx,17122,PXSQJB,N2Q9EZ,Rutgers
570023-570014-58840592@x.xx,3254,HPPDXP,URVVWM,Rutgers
570023-570014-58840592@x.xx,5481,HPPDXP,Y6JTCZ,Rutgers
570023-570014-58840592@x.xx,9778,N2Q9EZ,69J9SW,Rutgers
570023-570014-58840592@x.xx,4111,N2Q9EZ,7VAUKB,Rutgers
570023-570014-58840592@x.xx,7016,PXSQJB,URVVWM,Rutgers
570023-570014-58840592@x.xx,3092,Y6JTCZ,URVVWM,Rutgers
570023-570014-58840592@x.xx,3549,N2Q9EZ,TBEEEN,Rutgers
570023-570014-58840592@x.xx,1832,HPPDXP,WP7BYJ,Rutgers
570023-570014-58841208@x.xx,33965,69J9SW,WP7BYJ,Rutgers
570023-570014-58841208@x.xx,17194,Y6JTCZ,TBEEEN,Rutgers
570023-570014-58841208@x.xx,20576,PXSQJB,N2Q9EZ,Rutgers
570023-570014-58841208@x.xx,22299,HPPDXP,69J9SW,Rutgers
570023-570014-58841208@x.xx,11904,PXSQJB,TBEEEN,Rutgers
570023-570014-58841208@x.xx,10028,TBEEEN,WP7BYJ,Rutgers
570023-570014-58841208@x.xx,8234,7VAUKB,WP7BYJ,Rutgers
570023-570014-58841208@x.xx,6150,URVVWM,WP7BYJ,Rutgers
570023-570014-58841208@x.xx,10186,HPPDXP,7VAUKB,Rutgers
570023-570014-58841208@x.xx,5461,Y6JTCZ,PXSQJB,Rutgers
570023-570014-58841208@x.xx,3465,N2Q9EZ,WP7BYJ,Rutgers
570023-570014-58841208@x.xx,3870,PXSQJB,URVVWM,Rutgers
570023-570014-58841208@x.xx,2992,69J9SW,HPPDXP,Rutgers
570023-570014-58841208@x.xx,3567,Y6JTCZ,N2Q9EZ,Rutgers
570023-570014-58841208@x.xx,2962,7VAUKB,TBEEEN,Rutgers
570023-570014-58841208@x.xx,3456,69J9SW,URVVWM,Rutgers
570023-570014-58841208@x.xx,4544,69J9SW,HPPDXP,Rutgers
570023-570014-58841208@x.xx,2423,PXSQJB,TBEEEN,Rutgers
570023-570014-58841208@x.xx,1332,N2Q9EZ,WP7BYJ,Rutgers
570023-570014-58841208@x.xx,1524,7VAUKB,WP7BYJ,Rutgers
570023-570014-58842007@x.xx,46390,N2Q9EZ,URVVWM,Rutgers
570023-570014-58842007@x.xx,24825,Y6JTCZ,N2Q9EZ,Rutgers
570023-570014-58842007@x.xx,29165,HPPDXP,URVVWM,Rutgers
570023-570014-58842007@x.xx,30791,PXSQJB,N2Q9EZ,Rutgers
570023-570014-58842007@x.xx,49348,7VAUKB,69J9SW,Rutgers
570023-570014-58842007@x.xx,9584,Y6JTCZ,URVVWM,Rutgers
570023-570014-58842007@x.xx,25584,HPPDXP,7VAUKB,Rutgers
570023-570014-58842007@x.xx,27788,TBEEEN,URVVWM,Rutgers
570023-570014-58842007@x.xx,11693,PXSQJB,TBEEEN,Rutgers
570023-570014-58842007@x.xx,36130,HPPDXP,Y6JTCZ,Rutgers
570023-570014-58842007@x.xx,41066,69J9SW,PXSQJB,Rutgers
570023-570014-58842007@x.xx,72455,HPPDXP,WP7BYJ,Rutgers
570023-570014-58842007@x.xx,16861,7VAUKB,TBEEEN,Rutgers
570023-570014-58842007@x.xx,23145,69J9SW,Y6JTCZ,Rutgers
570023-570014-58842007@x.xx,14663,PXSQJB,WP7BYJ,Rutgers
570023-570014-58842007@x.xx,11256,N2Q9EZ,URVVWM,Rutgers
570023-570014-58842007@x.xx,19289,HPPDXP,7VAUKB,Rutgers
570023-570014-58842007@x.xx,8823,Y6JTCZ,URVVWM,Rutgers
570023-570014-58842007@x.xx,14194,69J9SW,N2Q9EZ,Rutgers
570023-570014-58842007@x.xx,3699,WP7BYJ,TBEEEN,Rutgers
570023-570014-58842707@x.xx,147184,PXSQJB,69J9SW,Rutgers
570023-570014-58842707@x.xx,127835,WP7BYJ,7VAUKB,Rutgers
570023-570014-58842707@x.xx,27074,Y6JTCZ,69J9SW,Rutgers
570023-570014-58842707@x.xx,26237,Y6JTCZ,HPPDXP,Rutgers
570023-570014-58842707@x.xx,89498,TBEEEN,URVVWM,Rutgers
570023-570014-58842707@x.xx,39353,PXSQJB,N2Q9EZ,Rutgers
570023-570014-58842707@x.xx,10345,PXSQJB,7VAUKB,Rutgers
570023-570014-58842707@x.xx,14917,Y6JTCZ,HPPDXP,Rutgers
570023-570014-58842707@x.xx,29427,7VAUKB,TBEEEN,Rutgers
570023-570014-58842707@x.xx,23406,7VAUKB,WP7BYJ,Rutgers
570023-570014-58842707@x.xx,8620,Y6JTCZ,N2Q9EZ,Rutgers
570023-570014-58842707@x.xx,65213,HPPDXP,URVVWM,Rutgers
570023-570014-58842707@x.xx,9642,Y6JTCZ,69J9SW,Rutgers
570023-570014-58842707@x.xx,10396,TBEEEN,HPPDXP,Rutgers
570023-570014-58842707@x.xx,8637,PXSQJB,N2Q9EZ,Rutgers
570023-570014-58842707@x.xx,12852,PXSQJB,WP7BYJ,Rutgers
570023-570014-58842707@x.xx,4135,WP7BYJ,URVVWM,Rutgers
570023-570014-58842707@x.xx,7017,7VAUKB,69J9SW,Rutgers
570023-570014-58842707@x.xx,4826,N2Q9EZ,URVVWM,Rutgers
570023-570014-58842707@x.xx,11635,69J9SW,HPPDXP,Rutgers
570023-570014-58843476@x.xx,52053,Y6JTCZ,TBEEEN,Rutgers
570023-570014-58843476@x.xx,49151,N2Q9EZ,PXSQJB,Rutgers
570023-570014-58843476@x.xx,94695,7VAUKB,WP7BYJ,Rutgers
570023-570014-58843476@x.xx,30536,WP7BYJ,URVVWM,Rutgers
570023-570014-58843476@x.xx,87592,69J9SW,N2Q9EZ,Rutgers
570023-570014-58843476@x.xx,31601,69J9SW,HPPDXP,Rutgers
570023-570014-58843476@x.xx,24825,TBEEEN,7VAUKB,Rutgers
570023-570014-58843476@x.xx,16532,PXSQJB,WP7BYJ,Rutgers
570023-570014-58843476@x.xx,24638,Y6JTCZ,URVVWM,Rutgers
570023-570014-58843476@x.xx,48445,HPPDXP,URVVWM,Rutgers
570023-570014-58843476@x.xx,9810,TBEEEN,Y6JTCZ,Rutgers
570023-570014-58843476@x.xx,29848,7VAUKB,PXSQJB,Rutgers
570023-570014-58843476@x.xx,47426,N2Q9EZ,69J9SW,Rutgers
570023-570014-58843476@x.xx,17744,N2Q9EZ,TBEEEN,Rutgers
570023-570014-58843476@x.xx,8918,PXSQJB,WP7BYJ,Rutgers
570023-570014-58843476@x.xx,10970,WP7BYJ,URVVWM,Rutgers
570023-570014-58843476@x.xx,8946,PXSQJB,HPPDXP,Rutgers
570023-570014-58843476@x.xx,4468,TBEEEN,7VAUKB,Rutgers
570023-570014-58843476@x.xx,8392,WP7BYJ,URVVWM,Rutgers
570023-570014-58843476@x.xx,7279,Y6JTCZ,WP7BYJ,Rutgers
570023-570014-58843886@x.xx,64015,69J9SW,HPPDXP,Rutgers
570023-570014-58843886@x.xx,45530,N2Q9EZ,7VAUKB,Rutgers
570023-570014-58843886@x.xx,70065,PXSQJB,TBEEEN,Rutgers
570023-570014-58843886@x.xx,50429,69J9SW,TBEEEN,Rutgers
570023-570014-58843886@x.xx,11160,HPPDXP,TBEEEN,Rutgers
570023-570014-58843886@x.xx,55641,N2Q9EZ,PXSQJB,Rutgers
570023-570014-58843886@x.xx,6627,Y6JTCZ,7VAUKB,Rutgers
570023-570014-58843886@x.xx,75422,WP7BYJ,URVVWM,Rutgers
570023-570014-58843886@x.xx,6520,69J9SW,WP7BYJ,Rutgers
570023-570014-58843886@x.xx,6847,HPPDXP,URVVWM,Rutgers
570023-570014-58843886@x.xx,56278,N2Q9EZ,69J9SW,Rutgers
570023-570014-58843886@x.xx,24756,URVVWM,7VAUKB,Rutgers
570023-570014-58843886@x.xx,5278,Y6JTCZ,PXSQJB,Rutgers
570023-570014-58843886@x.xx,1791,HPPDXP,WP7BYJ,Rutgers
570023-570014-58843886@x.xx,13172,N2Q9EZ,69J9SW,Rutgers
570023-570014-58843886@x.xx,6149,HPPDXP,7VAUKB,Rutgers
570023-570014-58843886@x.xx,1745,Y6JTCZ,WP7BYJ,Rutgers
570023-570014-58843886@x.xx,2128,69J9SW,TBEEEN,Rutgers
570023-570014-58843886@x.xx,12526,N2Q9EZ,PXSQJB,Rutgers
570023-570014-58843886@x.xx,5973,69J9SW,7VAUKB,Rutgers
570023-570014-58845023@x.xx,264385,WP7BYJ,URVVWM,Rutgers
570023-570014-58845023@x.xx,65963,Y6JTCZ,PXSQJB,Rutgers
570023-570014-58845023@x.xx,38660,HPPDXP,URVVWM,Rutgers
570023-570014-58845023@x.xx,21223,TBEEEN,URVVWM,Rutgers
570023-570014-58845023@x.xx,86195,N2Q9EZ,URVVWM,Rutgers
570023-570014-58845023@x.xx,26587,HPPDXP,7VAUKB,Rutgers
570023-570014-58845023@x.xx,13771,Y6JTCZ,N2Q9EZ,Rutgers
570023-570014-58845023@x.xx,3009,TBEEEN,URVVWM,Rutgers
570023-570014-58845023@x.xx,10703,PXSQJB,URVVWM,Rutgers
570023-570014-58845023@x.xx,3725,TBEEEN,7VAUKB,Rutgers
570023-570014-58845023@x.xx,3461,Y6JTCZ,WP7BYJ,Rutgers
570023-570014-58845023@x.xx,14959,HPPDXP,69J9SW,Rutgers
570023-570014-58845023@x.xx,9804,Y6JTCZ,PXSQJB,Rutgers
570023-570014-58845023@x.xx,3024,N2Q9EZ,URVVWM,Rutgers
570023-570014-58845023@x.xx,3072,WP7BYJ,7VAUKB,Rutgers
570023-570014-58845023@x.xx,9160,PXSQJB,69J9SW,Rutgers
570023-570014-58845023@x.xx,4705,Y6JTCZ,HPPDXP,Rutgers
570023-570014-58845023@x.xx,5700,HPPDXP,TBEEEN,Rutgers
570023-570014-58845023@x.xx,46481,N2Q9EZ,HPPDXP,Rutgers
570023-570014-58845023@x.xx,7635,7VAUKB,URVVWM,Rutgers
570023-570014-58846329@x.xx,58874,N2Q9EZ,HPPDXP,Rutgers
570023-570014-58846329@x.xx,88237,7VAUKB,URVVWM,Rutgers
570023-570014-58846329@x.xx,86783,69J9SW,Y6JTCZ,Rutgers
570023-570014-58846329@x.xx,56137,69J9SW,TBEEEN,Rutgers
570023-570014-58846329@x.xx,150458,WP7BYJ,URVVWM,Rutgers
570023-570014-58846329@x.xx,11784,N2Q9EZ,WP7BYJ,Rutgers
570023-570014-58846329@x.xx,39612,7VAUKB,TBEEEN,Rutgers
570023-570014-58846329@x.xx,46641,PXSQJB,7VAUKB,Rutgers
570023-570014-58846329@x.xx,22647,N2Q9EZ,69J9SW,Rutgers
570023-570014-58846329@x.xx,7419,7VAUKB,URVVWM,Rutgers
570023-570014-58846329@x.xx,73677,N2Q9EZ,HPPDXP,Rutgers
570023-570014-58846329@x.xx,6499,PXSQJB,TBEEEN,Rutgers
570023-570014-58846329@x.xx,9613,WP7BYJ,URVVWM,Rutgers
570023-570014-58846329@x.xx,46064,PXSQJB,Y6JTCZ,Rutgers
570023-570014-58846329@x.xx,8512,69J9SW,URVVWM,Rutgers
570023-570014-58846329@x.xx,13197,HPPDXP,TBEEEN,Rutgers
570023-570014-58846329@x.xx,7814,N2Q9EZ,WP7BYJ,Rutgers
570023-570014-58846329@x.xx,8994,PXSQJB,7VAUKB,Rutgers
570023-570014-58846329@x.xx,8270,N2Q9EZ,Y6JTCZ,Rutgers
570023-570014-58846329@x.xx,7591,69J9SW,URVVWM,Rutgers
570023-570014-58846782@x.xx,9601,7VAUKB,69J9SW,Rutgers
570023-570014-58846782@x.xx,11237,Y6JTCZ,URVVWM,Rutgers
570023-570014-58846782@x.xx,6792,N2Q9EZ,TBEEEN,Rutgers
570023-570014-58846782@x.xx,5415,PXSQJB,WP7BYJ,Rutgers
570023-570014-58846782@x.xx,1701,69J9SW,TBEEEN,Rutgers
570023-570014-58846782@x.xx,5745,PXSQJB,Y6JTCZ,Rutgers
570023-570014-58846782@x.xx,21258,N2Q9EZ,HPPDXP,Rutgers
570023-570014-58846782@x.xx,10119,N2Q9EZ,69J9SW,Rutgers
570023-570014-58846782@x.xx,13733,7VAUKB,69J9SW,Rutgers
570023-570014-58846782@x.xx,3426,TBEEEN,URVVWM,Rutgers
570023-570014-58846782@x.xx,4490,PXSQJB,URVVWM,Rutgers
570023-570014-58846782@x.xx,3298,WP7BYJ,7VAUKB,Rutgers
570023-570014-58846782@x.xx,4295,69J9SW,Y6JTCZ,Rutgers
570023-570014-58846782@x.xx,1920,N2Q9EZ,TBEEEN,Rutgers
570023-570014-58846782@x.xx,5792,PXSQJB,7VAUKB,Rutgers
570023-570014-58846782@x.xx,2639,PXSQJB,WP7BYJ,Rutgers
570023-570014-58846782@x.xx,5408,N2Q9EZ,WP7BYJ,Rutgers
570023-570014-58846782@x.xx,4124,HPPDXP,URVVWM,Rutgers
570023-570014-58846782@x.xx,2085,7VAUKB,Y6JTCZ,Rutgers
570023-570014-58846782@x.xx,1477,N2Q9EZ,URVVWM,Rutgers
570023-570014-58846820@x.xx,22572,69J9SW,WP7BYJ,Rutgers
570023-570014-58846820@x.xx,32657,PXSQJB,TBEEEN,Rutgers
570023-570014-58846820@x.xx,19148,N2Q9EZ,HPPDXP,Rutgers
570023-570014-58846820@x.xx,24987,HPPDXP,7VAUKB,Rutgers
570023-570014-58846820@x.xx,6898,Y6JTCZ,WP7BYJ,Rutgers
570023-570014-58846820@x.xx,2492,TBEEEN,WP7BYJ,Rutgers
570023-570014-58846820@x.xx,12219,PXSQJB,HPPDXP,Rutgers
570023-570014-58846820@x.xx,9142,N2Q9EZ,Y6JTCZ,Rutgers
570023-570014-58846820@x.xx,11858,N2Q9EZ,7VAUKB,Rutgers
570023-570014-58846820@x.xx,11676,TBEEEN,69J9SW,Rutgers
570023-570014-58846820@x.xx,9110,7VAUKB,69J9SW,Rutgers
570023-570014-58846820@x.xx,4359,PXSQJB,69J9SW,Rutgers
570023-570014-58846820@x.xx,5410,Y6JTCZ,7VAUKB,Rutgers
570023-570014-58846820@x.xx,10032,HPPDXP,URVVWM,Rutgers
570023-570014-58846820@x.xx,6816,HPPDXP,WP7BYJ,Rutgers
570023-570014-58846820@x.xx,3963,Y6JTCZ,TBEEEN,Rutgers
570023-570014-58846820@x.xx,3958,PXSQJB,TBEEEN,Rutgers
570023-570014-58846820@x.xx,4270,69J9SW,WP7BYJ,Rutgers
570023-570014-58846820@x.xx,16567,N2Q9EZ,PXSQJB,Rutgers
570023-570014-58846820@x.xx,2711,Y6JTCZ,WP7BYJ,Rutgers
570023-570014-58847299@x.xx,47851,PXSQJB,HPPDXP,Rutgers
570023-570014-58847299@x.xx,31116,N2Q9EZ,TBEEEN,Rutgers
570023-570014-58847299@x.xx,35563,7VAUKB,WP7BYJ,Rutgers
570023-570014-58847299@x.xx,50990,URVVWM,WP7BYJ,Rutgers
570023-570014-58847299@x.xx,44622,TBEEEN,Y6JTCZ,Rutgers
570023-570014-58847299@x.xx,16854,69J9SW,URVVWM,Rutgers
570023-570014-58847299@x.xx,11464,69J9SW,HPPDXP,Rutgers
570023-570014-58847299@x.xx,21700,7VAUKB,URVVWM,Rutgers
570023-570014-58847299@x.xx,20502,PXSQJB,Y6JTCZ,Rutgers
570023-570014-58847299@x.xx,27214,7VAUKB,HPPDXP,Rutgers
570023-570014-58847299@x.xx,11374,HPPDXP,TBEEEN,Rutgers
570023-570014-58847299@x.xx,6259,N2Q9EZ,Y6JTCZ,Rutgers
570023-570014-58847299@x.xx,20035,69J9SW,PXSQJB,Rutgers
570023-570014-58847299@x.xx,35726,TBEEEN,Y6JTCZ,Rutgers
570023-570014-58847299@x.xx,7739,N2Q9EZ,URVVWM,Rutgers
570023-570014-58847299@x.xx,5417,7VAUKB,Y6JTCZ,Rutgers
570023-570014-58847299@x.xx,8422,69J9SW,Y6JTCZ,Rutgers
570023-570014-58847299@x.xx,14005,HPPDXP,TBEEEN,Rutgers
570023-570014-58847299@x.xx,31719,HPPDXP,PXSQJB,Rutgers
570023-570014-58847299@x.xx,7268,PXSQJB,WP7BYJ,Rutgers
570023-570014-58852740@x.xx,51361,N2Q9EZ,HPPDXP,Rutgers
570023-570014-58852740@x.xx,30692,TBEEEN,URVVWM,Rutgers
570023-570014-58852740@x.xx,43485,HPPDXP,WP7BYJ,Rutgers
570023-570014-58852740@x.xx,13560,Y6JTCZ,7VAUKB,Rutgers
570023-570014-58852740@x.xx,18693,69J9SW,HPPDXP,Rutgers
570023-570014-58852740@x.xx,30857,HPPDXP,TBEEEN,Rutgers
570023-570014-58852740@x.xx,13722,PXSQJB,URVVWM,Rutgers
570023-570014-58852740@x.xx,10657,69J9SW,WP7BYJ,Rutgers
570023-570014-58852740@x.xx,25313,69J9SW,7VAUKB,Rutgers
570023-570014-58852740@x.xx,9658,Y6JTCZ,PXSQJB,Rutgers
570023-570014-58852740@x.xx,8083,N2Q9EZ,TBEEEN,Rutgers
570023-570014-58852740@x.xx,4653,Y6JTCZ,WP7BYJ,Rutgers
570023-570014-58852740@x.xx,4854,Y6JTCZ,7VAUKB,Rutgers
570023-570014-58852740@x.xx,5914,TBEEEN,URVVWM,Rutgers
570023-570014-58852740@x.xx,18243,PXSQJB,HPPDXP,Rutgers
570023-570014-58852740@x.xx,2375,Y6JTCZ,WP7BYJ,Rutgers
570023-570014-58852740@x.xx,12340,N2Q9EZ,7VAUKB,Rutgers
570023-570014-58852740@x.xx,3869,69J9SW,TBEEEN,Rutgers
570023-570014-58852740@x.xx,10750,PXSQJB,HPPDXP,Rutgers
570023-570014-58852740@x.xx,12431,HPPDXP,WP7BYJ,Rutgers
570023-570014-58857078@x.xx,70837,N2Q9EZ,HPPDXP,Rutgers
570023-570014-58857078@x.xx,101454,WP7BYJ,7VAUKB,Rutgers
570023-570014-58857078@x.xx,21911,WP7BYJ,URVVWM,Rutgers
570023-570014-58857078@x.xx,38437,Y6JTCZ,69J9SW,Rutgers
570023-570014-58857078@x.xx,24510,TBEEEN,WP7BYJ,Rutgers
570023-570014-58857078@x.xx,59756,Y6JTCZ,PXSQJB,Rutgers
570023-570014-58857078@x.xx,13627,N2Q9EZ,WP7BYJ,Rutgers
570023-570014-58857078@x.xx,35668,WP7BYJ,7VAUKB,Rutgers
570023-570014-58857078@x.xx,9434,69J9SW,URVVWM,Rutgers
570023-570014-58857078@x.xx,9721,TBEEEN,WP7BYJ,Rutgers
570023-570014-58857078@x.xx,17364,Y6JTCZ,PXSQJB,Rutgers
570023-570014-58857078@x.xx,27381,N2Q9EZ,69J9SW,Rutgers
570023-570014-58857078@x.xx,6687,Y6JTCZ,7VAUKB,Rutgers
570023-570014-58857078@x.xx,17542,PXSQJB,URVVWM,Rutgers
570023-570014-58857078@x.xx,32790,TBEEEN,HPPDXP,Rutgers
570023-570014-58857078@x.xx,10672,N2Q9EZ,TBEEEN,Rutgers
570023-570014-58857078@x.xx,9322,69J9SW,7VAUKB,Rutgers
570023-570014-58857078@x.xx,4625,69J9SW,URVVWM,Rutgers
570023-570014-58857078@x.xx,5089,PXSQJB,URVVWM,Rutgers
570023-570014-58857078@x.xx,6770,N2Q9EZ,TBEEEN,Rutgers
